,timestamp,idx,product_idx,customer_idx,review_score,type,value
0,2017-01-21 06:58:32,order-0,157,24,0,buy,9.9
1,2017-01-21 06:58:33,order-1,157,24,0,buy,9.9
2,2017-01-21 06:58:34,order-2,157,24,0,buy,9.9
3,2017-01-21 06:58:35,order-3,172,24,0,buy,9.9
4,2017-01-21 06:58:36,order-4,157,24,0,buy,9.9
5,2017-01-21 06:58:37,order-5,157,24,0,buy,9.9
6,2017-01-23 13:31:27,order-6,157,24,0,buy,9.9
7,2017-01-23 13:31:28,order-7,157,24,0,buy,9.9
8,2017-01-23 13:31:29,order-8,157,24,0,buy,9.9
9,2017-01-23 13:31:30,order-9,157,24,0,buy,9.9
10,2017-01-23 13:31:31,order-10,157,24,0,buy,9.9
11,2017-01-30 21:44:50,order-11,189,7,0,buy,51.0
12,2017-01-30 21:44:51,order-12,189,7,0,buy,51.0
13,2017-01-30 21:44:52,order-13,189,7,0,buy,51.0
14,2017-01-30 21:44:53,order-14,189,7,0,buy,51.0
15,2017-01-30 21:44:54,order-15,189,7,0,buy,51.0
16,2017-01-30 21:44:55,order-16,189,7,0,buy,51.0
17,2017-01-30 21:44:56,order-17,189,7,0,buy,51.0
18,2017-01-30 21:44:57,order-18,189,7,0,buy,51.0
19,2017-01-30 21:44:58,order-19,189,7,0,buy,51.0
20,2017-01-30 21:44:59,order-20,189,7,0,buy,51.0
21,2017-01-30 21:45:00,order-21,189,7,0,buy,51.0
22,2017-01-30 21:45:01,order-22,189,7,0,buy,51.0
23,2017-01-30 21:45:02,order-23,189,7,0,buy,51.0
24,2017-01-30 21:45:03,order-24,189,7,0,buy,51.0
25,2017-01-30 21:45:04,order-25,189,7,0,buy,51.0
26,2017-01-31 12:16:04,review-183,157,24,1,rate,1.0
27,2017-01-31 12:16:07,review-184,172,24,1,rate,1.0
28,2017-01-31 12:17:42,review-151,157,24,1,rate,1.0
29,2017-02-05 18:47:45,order-26,186,90,0,buy,49.9
30,2017-02-05 18:47:46,order-27,171,90,0,buy,179.9
31,2017-02-16 17:14:42,review-217,189,7,5,rate,1.0
32,2017-02-25 01:06:26,review-272,186,90,3,rate,1.0
33,2017-02-25 01:06:27,review-273,171,90,3,rate,1.0
34,2017-04-18 09:46:41,order-28,77,33,0,buy,27.9
35,2017-05-02 11:01:51,review-85,77,33,5,rate,1.0
36,2017-05-09 14:33:44,order-29,73,65,0,buy,188.9
37,2017-05-09 14:33:45,order-30,73,65,0,buy,188.9
38,2017-05-09 14:33:46,order-31,73,65,0,buy,188.9
39,2017-05-09 14:33:47,order-32,73,65,0,buy,188.9
40,2017-05-09 14:41:11,order-33,73,65,0,buy,188.9
41,2017-05-09 14:41:12,order-34,73,65,0,buy,188.9
42,2017-05-09 14:41:13,order-35,73,65,0,buy,188.9
43,2017-05-09 14:41:14,order-36,73,65,0,buy,188.9
44,2017-05-10 14:04:16,order-37,78,36,0,buy,219.9
